Unnamed: 0,번호,제목,저자,출판사,출판일
,84,Microlocal analysis of scattering data for nested conormal potentials,"Eswarathasan, S.",Elsevier Science B.V. Amsterdam,2012
,85,"Health burden of road traffic accidents, an analysis of clinical data on disability and mortality exposure rates in Flanders and Brussels","Dhondt, S.; Macharis, C.; Terryn, N.; Van Malderen, F.; Putman, K.","Elsevier Science B.V., Amsterdam.",2013
,86,Quantile regression provides a fuller analysis of speed data,"Hewson, P.","Elsevier Science B.V., Amsterdam.",2008
,87,Crime Risk Maps: A Multivariate Spatial Analysis of Crime Data,"Chung, Jihoon; Kim, Heeyoung",Wiley-Blackwell,2019
,88,Utilizing UAV video data for in-depth analysis of drivers' crash risk at interchange merging areas,"Gu, Xin; Abdel-Aty, Mohamed; Xiang, Qiaojun; Cai, Qing; Yuan, Jinghui","Elsevier Science B.V., Amsterdam.",2019
,89,Kinetic Analysis of Thermogravimetric Data XXX. Thermal decomposition of some Reinecke salt like complexes,"Zsako, J.",JOHN WILEY & SONS LTD,1997
,90,The activities of the european consortium on nuclear data development and analysis for fusion,"Fischer, U.; Avrigeanu, M.; Avrigeanu, V.; Cabellos, O.; Kodeli, I.; Koning, A.; Konobeyev, A.; Leeb, H.; Rochman, D.; Pereslavtsev, P.; Sauvan, P.; Sublet, J.-C.; Trkov, A.; Dupont, E.; Leichtle, D.; Izquierdo, J.",Academic Press,2014
,91,Home injuries mortality: Sensitivity and specificity analysis of different data sources and operative definitions,"Farchi, S.; Camilloni, L.; Rossi, P. G.; Chini, F.; Borgia, P.; Guasticchi, G.","Elsevier Science B.V., Amsterdam.",2007
,92,Research Challenges in Financial Data Modeling and Analysis,unknown,Mary Ann Leibert,2017
,93,Allometric Scaling: Analysis of LD50 Data,"Burzala-Kowalczyk, L.; Jongbloed, G.",Blackwell Publishing Ltd,2011
,94,Multilevel data and Bayesian analysis in traffic safety,"Huang, H.; Abdel-Aty, M.","Elsevier Science B.V., Amsterdam.",2010
,95,Statistical analysis of masked data in a hybrid system based on copula theory under progressive hybrid censoring,"Cai, Jing; Shi, Yimin; Bai, Xuchao",Taylor & Francis,2017
,96,Multivariate analysis of tof?sims data using mass segmented peak lists,"Madiona, Robert M.T.; Welch, Nicholas G.; Russell, Stephanie B.; Winkler, David A.; Scoble, Judith A.; Muir, Benjamin W.; Pigram, Paul J.","John Wiley & Sons, Ltd",2018
,97,Refined-scale panel data crash rate analysis using random-effects tobit model,"Chen, F.; Ma, X.; Chen, S.","Elsevier Science B.V., Amsterdam.",2014
,98,Multivariate analysis of ToF-SIMS data for biological applications,"Park, J. W.; Min, H.; Kim, Y. P.; Kyong Shon, H.; Kim, J.; Moon, D. W.; Lee, T. G.","John Wiley & Sons, Ltd",2009
,99,Advances in Risk Analysis with Big Data,"Choi, T. M.; Lambert, J. H.",John Wiley & Sons Ltd,2017
,100,An analysis of longitudinal data with nonignorable dropout using the truncated multivariate normal distribution,"Jolani, S.","Elsevier Science B.V., Amsterdam",2014
,1,Gene ontology analysis of transcriptome data from DMBA-induced mammary tumors of rats fed a high-corn oil and a high-extra virgin olive oil diet,"Escrich, Raquel; Cubedo, Marta; Escrich, Eduard; Moral, Raquel","Elsevier Science B.V., Amsterdam",2019
,2,Data from proteomic analysis of bovine Longissimus dorsi muscle associated with intramuscular fat content,"Poleti, Mirele D.; Regitano, Luciana C.A.; Souza, Gustavo H.M.F.; Cesar, Aline S.M.; Simas, Rosineide C.; Silva-Vignato, Barbara; Oliveira, Gabriella B.; Andrade, Sonia C.S.; Cameron, Luiz C.; Coutinho, Luiz L.","Elsevier Science B.V., Amsterdam",2018
,3,Data for a meta-analysis of the adaptive layer in adaptive large neighborhood search,"Turke?, Renata; Sorensen, Kenneth; Hvattum, Lars Magnus; Barrena, Eva; Chentli, Hayet; Coelho, Leandro C.; Dayarian, Iman; Grimault, Axel; Gullhav, Anders N.; Iris, Ca?atay; Keskin, Merve; Kiefer, Alexander; Lusby, Richard Martin; Mauri, Geraldo Regis; Mo","Elsevier Science B.V., Amsterdam",2020
,4,Microarray data and pathway analyses for human microvascular endothelial cells supplemented with low dose vitamin D or niacin during lipotoxicity,"Peters, Kia M.; Borradaile, Nica M.","Elsevier Science B.V., Amsterdam",2019
,5,Temporal series analysis of abiotic data for a subtropical Brazilian rocky shore,"Silva, Marcos Goncalves da; Silva, Juliana Nascimento; Fragoso, Helena Rodrigues; Ghilardi-Lopes, Natalia Pirani","Elsevier Science B.V., Amsterdam",2019
,6,"Data on GC-MS analysis, in?vitro anti-oxidant and anti-microbial activity of the Catharanthus roseus and Moringa oleifera leaf extracts","Syeda, Anjum Mobeen; Riazunnisa, K.","Elsevier Science B.V., Amsterdam",2020
,7,Data from comprehensive analysis of nuclear localization signals,"Yamagishi, Ryosuke; Kaneko, Hiroki","Elsevier Science B.V., Amsterdam",2016
,8,Data for the analysis of PolyHIPE scaffolds with tunable mechanical properties for bone tissue engineering,"Owen, Robert; Sherborne, Colin; Reilly, Gwendolen C.; Claeyssens, Frederik","Elsevier Science B.V., Amsterdam",2015
,9,"Morbility, clinical data and proteomic analysis of IUGR and AGA newborns at different gestational ages","Ruiz-Gonzalez, M.D.; Canete, M.D.; Gomez-Chaparro, J.L.; Rodriguez-Torronteras, A.; Abril, N.; Canete, R.; Lopez-Barea, J.L.","Elsevier Science B.V., Amsterdam",2016
,10,"Data from numerical analysis, simulation and experimental determinations performed to verify the sizing of an unbalanced capacitive compensator for three-phase four-wires networks","Pan?, Adrian; B?loi, Alexandru; Molnar-Matei, Florin","Elsevier Science B.V., Amsterdam",2019
,11,High resolution mass spectral data from the analysis of copper chlorophylls and copper chlorophyll degradation products in bright green table olives,"Scholl, Peter F.; Gray, Patrick J.; Harp, Bhakti Petigara; Delmonte, Pierluigi","Elsevier Science B.V., Amsterdam",2020
,12,Analysis of the data on titration of native and peroxynitrite modified αA- and αB-crystallins by Cu2+-ions,"Ghahramani, Maryam; Yousefi, Reza; Khoshaman, Kazem; Moghadam, Sogand Sasan; Kurganov, Boris","Elsevier Science B.V., Amsterdam",2020
,13,Data from computational analysis of the peptide linkers in the MocR bacterial transcriptional regulators,"Angelaccio, Sebastiana; Milano, Teresa; Tramonti, Angela; Di Salvo, Martino Luigi; Contestabile, Roberto; Pascarella, Stefano","Elsevier Science B.V., Amsterdam",2016
,14,Data for proteomic analysis of Human monocyte-derived macrophages,"Eligini, S.; Brioschi, M.; Fiorelli, S.; Tremoli, E.; Colli, S.; Banfi, C.","Elsevier Science B.V., Amsterdam",2015
,15,Data on morphometric analysis of the pancreatic islets from C57BL/6 and BALB,"da Silva, Thiago Aparecido; Lemes, Robertha Mariana; Oliveira, Carlo Jose Freire; Almeida, Aline da Silva; Chica, Javier Emilio Lazo","Elsevier Science B.V., Amsterdam",2016
,16,Data of phosphoproteomic analysis of non-functioning pituitary adenoma,"Rai, Ashutosh; Radotra, B.D.; Mukherjee, K.K.; Gupta, S.K.; Dutta, Pinaki","Elsevier Science B.V., Amsterdam",2018
,17,Data on global analysis of clinical trials with probiotics,"Dronkers, Theresia M.G.; Ouwehand, Arthur C.; Rijkers, Ger T.","Elsevier Science B.V., Amsterdam",2020
,18,Data for evolutive analysis of insulin related peptides in bilaterian species,"Cherif--Feildel, Maeva; Berthelin, Clothilde Heude; Riviere, Guillaume; Favrel, Pascal; Kellner, Kristell","Elsevier Science B.V., Amsterdam",2019
,19,Prenatal alcohol exposure alters gene expression in the rat brain: Experimental design and bioinformatic analysis of microarray data,"Lussier, Alexandre A.; Stepien, Katarzyna A.; Weinberg, Joanne; Kobor, Michael S.","Elsevier Science B.V., Amsterdam",2015
,20,Data on translatome analysis of Mycoplasma gallisepticum,"Fisunov, G.Y.; Evsyutina, D.V.; Govorun, V.M.","Elsevier Science B.V., Amsterdam",2016
,21,Data for proteomic analysis of ATP-binding proteins and kinase inhibitor target proteins using an ATP probe,"Adachi, Jun; Kishida, Marina; Watanabe, Shio; Hashimoto, Yuuki; Fukamizu, Kazuna; Tomonaga, Takeshi","Elsevier Science B.V., Amsterdam",2015
,22,Data for spatial analysis of growth anomaly lesions on Montipora capitata coral colonies using 3D reconstruction techniques,"Burns, John H.R.; Alexandrov, Theodore; Ovchinnikova, Katya; Gates, Ruth D.; Takabayashi, Misaki","Elsevier Science B.V., Amsterdam",2016
,23,Data on genetic analysis of atherosclerosis identifies a major susceptibility locus in the major histocompatibility complex of mice,"Grainger, Andrew T.; Jones, Michael B.; Li, Jing; Chen, Mei-Hua; Manichaikul, Ani; Shi, Weibin","Elsevier Science B.V., Amsterdam",2016
,24,Data on genetic analysis of atherosclerosis identifies a major susceptibility locus in the major histocompatibility complex of mice,"Grainger, Andrew T.; Jones, Michael B.; Li, Jing; Chen, Mei-Hua; Manichaikul, Ani; Shi, Weibin","Elsevier Science B.V., Amsterdam",2016
,25,Data on cost analysis of drilling mud displacement during drilling operation,"Okoro, Emeka Emmanuel; Dosunmu, Adewale; Iyuke, Sunny E.","Elsevier Science B.V., Amsterdam",2018
,26,Data for factor analysis of hydro-geochemical characteristics of groundwater resources in Iranshahr,"Biglari, Hamed; Saeidi, Mehdi; Karimyan, Kamaleddin; Narooie, Mohammad Reza; Sharafi, Hooshmand","Elsevier Science B.V., Amsterdam",2018
,27,Data on RNA-seq analysis of Garcinia mangostana L. seed development,"Mazlan, Othman; Abdul-Rahman, Azhani; Goh, Hoe-Han; Aizat, Wan Mohd; Mohd Noor, Normah","Elsevier Science B.V., Amsterdam",2018
,28,Mass spectrometry data of metabolomics analysis of Nepenthes pitchers,"Rosli, Muhammad Aqil?Fitri; Azizan, Kamalrul Azlan; Baharum, Syarul Nataqain; Goh, Hoe-Han","Elsevier Science B.V., Amsterdam",2017
,29,Data of a meta-analysis on pharmacological treatment strategies for lowering prolactin in people with a psychotic disorder and hyperprolactinaemia,"Labad, Javier; Montalvo, Itziar; Gonzalez-Rodriguez, Alexandre; Garcia-Rizo, Clemente; Crespo-Facorro, Benedicto; Monreal, Jose Antonio; Palao, Diego","Elsevier Science B.V., Amsterdam",2020
,30,Data on phylogenetic analyses of gazelles (genus Gazella) based on mitochondrial and nuclear intron markers,"Lerp, Hannes; Klaus, Sebastian; Allgower, Stefanie; Wronski, Torsten; Pfenninger, Markus; Plath, Martin","Elsevier Science B.V., Amsterdam",2016
,31,Python script for homogeneous aqueous chemical reaction analysis and associated data related to radiolysis simulations,"Doyle, Peter; Bartels, David","Elsevier Science B.V., Amsterdam",2020
,32,Data on genome analysis of Bacillus velezensis LS69,"Liu, Guoqiang; Kong, Yingying; Fan, Yajing; Geng, Ce; Peng, Donghai; Sun, Ming","Elsevier Science B.V., Amsterdam",2017
,33,Microarray data and pathway analyses for primary human activated hepatic stellate cells compared to HepG2 human hepatoma cells,"Hetherington, Alexandra M.; Sawyez, Cynthia G.; Borradaile, Nica M.","Elsevier Science B.V., Amsterdam",2017
,34,Data from proteome analysis of Lasiodiplodia theobromae (Botryosphaeriaceae),"Uranga, Carla C.; Ghassemian, Majid; Hernandez-Martinez, Rufina","Elsevier Science B.V., Amsterdam",2017
,35,Data from computational analysis of the peptide linkers in the MocR bacterial transcriptional regulators,"Angelaccio, Sebastiana; Milano, Teresa; Tramonti, Angela; Di Salvo, Martino Luigi; Contestabile, Roberto; Pascarella, Stefano","Elsevier Science B.V., Amsterdam",2016
,36,"Data on PAGE analysis and MD simulation for the interaction of endonuclease Apn1 from Saccharomyces cerevisiae with DNA substrates containing 5, 6-dihydrouracyl and 2-aminopurine","Dyakonova, Elena S.; Koval, Vladimir V.; Lomzov, Alexander A.; Ishchenko, Alexander A.; Fedorova, Olga S.","Elsevier Science B.V., Amsterdam",2018
,37,"Morbility, clinical data and proteomic analysis of IUGR and AGA newborns at different gestational ages","Ruiz-Gonzalez, M.D.; Canete, M.D.; Gomez-Chaparro, J.L.; Rodriguez-Torronteras, A.; Abril, N.; Canete, R.; Lopez-Barea, J.L.","Elsevier Science B.V., Amsterdam",2016
,38,Data for dynamics analysis of riverine dissolved organic in watersheds,"Rizinjirabake, Fabien; Abdi, Abdulhakim M.; Tenenbaum, David E.; Pilesjo, Petter","Elsevier Science B.V., Amsterdam",2018
,39,Influence of talent retention strategy on employees? attitude to work: Analysis of survey data,"Oludayo, Olumuyiwa A.; Akanbi, Comfort O.; Obot, Bridget M.; Popoola, Segun I.; Atayero, Aderemi A.","Elsevier Science B.V., Amsterdam",2018
,40,Differential expression analysis of transcriptome data of Trypanosoma brucei RBP6 induction in procyclics leading to infectious metacyclics and bloodstream forms in vitro,"Shi, Huafang; Butler, Kiantra; Tschudi, Christian","Elsevier Science B.V., Amsterdam",2018
,41,"Dynamics of Pulicat Lake mouth analysis using geospatial data, east coast of India: Implications to socio-economic scenarios","Nagalaksmi, K.; Kumar, Madri Pramod; Jayaraju, N.; Prasad, T. Lakshmi; Lakshmanna, B.; Sreenivasulu, G.","Elsevier Science B.V., Amsterdam",2017
,42,Data for the analysis of interactive multibiomarker responses of a marine crustacean to long-term exposure to aquatic contaminants,"Abreu, Isabel Oliveira; Monteiro, Catarina; Rocha, A. Cristina S.; Reis-Henriques, M.A.; Teixeira, Catarina; Pires Basto, Maria Clara; Ferreira, Marta; Almeida, C. Marisa R.; Oliva-Teles, Luis; Guimaraes, Laura","Elsevier Science B.V., Amsterdam",2018
,43,Data on translatome analysis of Mycoplasma gallisepticum,"Fisunov, G.Y.; Evsyutina, D.V.; Govorun, V.M.","Elsevier Science B.V., Amsterdam",2016
,44,Mass spectrometry data from proteomic analysis of human skin keratins after exposure to UV radiation,"Lee, Seon Hwa; Matsushima, Keita; Miyamoto, Kohei; Oe, Tomoyuki","Elsevier Science B.V., Amsterdam",2016
,45,An approach for temporal analysis of email data based on segmentation,"Chundi, P.; Subramaniam, M.; Vasireddy, D. K.","Elsevier Science B.V., Amsterdam.",2009
,46,Data on proteomic analysis of milk extracellular vesicles from bovine leukemia virus-infected cattle,"Rahman, Md. Matiur; Badr, Yassien; Kamatari, Yuji O.; Kitamura, Yuko; Shimizu, Kaori; Okada, Ayaka; Inoshima, Yasuo","Elsevier Science B.V., Amsterdam",2020
,47,Functional connectivity analysis of fMRI data collected from human subjects with chronic tinnitus and varying levels of tinnitus-related distress,"Hullfish, Jeffrey; Abenes, Ian; Kovacs, Silvia; Sunaert, Stefan; De Ridder, Dirk; Vanneste, Sven","Elsevier Science B.V., Amsterdam",2018
,48,Data of thematic analysis of farmer?s use behavior of recycled industrial wastewater,"Aljerf, Loai","Elsevier Science B.V., Amsterdam",2018
,49,Data of chemical analysis and electrical properties of SnO2-TiO2 composite nanofibers,"Bakr, Zinab H.; Wali, Qamar; Ismail, Jamil; Elumalai, Naveen Kumar; Uddin, Ashraf; Jose, Rajan","Elsevier Science B.V., Amsterdam",2018
,50,Data on genome analysis of Mycoplasmagallisepticum during intracellular infection,"Matyushkina, Daria; Pobeguts, Olga; Garanina, Irina; Babenko, Vladislav; Vakhitova, Maria; Fisunov, Gleb; Govorun, Vadim","Elsevier Science B.V., Amsterdam",2017
,51,Data on RNA-seq analysis of the cocoa pod borer pest Conopomorpha cramerella (Snellen) (Lepidoptera: Gracillariidae),"Nor Muhammad, Nor Azlan; Ramlee, Intan Azlinda; Mohd Nor, Diana; Satyavenathan, Mahasakthy Vijeyasri; Rahmat, Nur Lina; Awang, Alias; Hassan, Maizom","Elsevier Science B.V., Amsterdam",2021
,52,Microarray data and pathway analyses for primary human activated hepatic stellate cells compared to HepG2 human hepatoma cells,"Hetherington, Alexandra M.; Sawyez, Cynthia G.; Borradaile, Nica M.","Elsevier Science B.V., Amsterdam",2017
,53,Data on genome analysis of Mycoplasmagallisepticum during intracellular infection,"Matyushkina, Daria; Pobeguts, Olga; Garanina, Irina; Babenko, Vladislav; Vakhitova, Maria; Fisunov, Gleb; Govorun, Vadim","Elsevier Science B.V., Amsterdam",2017
,54,Analysis of experimental data of environmental cement prepared by fly ash of eggs shell and sand dune for reduction of carbon dioxid,"Brahimi, Abdelghani; Meghachou, Mourad; Abbad, Hicham; Rahmouni, Abdelkader; Belbachir, Mohammed; Zeggai, Fatima Zohra; Khaldoun, Bachari","Elsevier Science B.V., Amsterdam",2020
,55,"Data on TOF-SIMS analysis of Cu2+, Co2+ and Cr3+ doped calcium phosphate cements","Henß, Anja; Schamel, Martha; Gbureck, Uwe; Gelinsky, Michael; Lode, Anja","Elsevier Science B.V., Amsterdam",2017
,56,Data for proteome analysis of Bacillus lehensis G1 in starch-containing medium,"Ling, How Lie; Rahmat, Zaidah; Murad, Abdul Munir Abdul; Mahadi, Nor Muhammad; Illias, Rosli Md.","Elsevier Science B.V., Amsterdam",2017
,57,LC-MS data for metabolomics analysis of Garcinia mangostana L. seed germination,"Mazlan, Othman; Aizat, Wan Mohd; Aziz Zuddin, Nor Shahida; Baharum, Syarul Nataqain; Noor, Normah Mohd","Elsevier Science B.V., Amsterdam",2018
,58,RNA-seq data and surprisal analysis of icl mutant and control strain of the green microalga Chlamydomonas reinhardtii during day/night cycles,"Willamme, R.; Bogaert, K.A.; Remacle, F.; Remacle, C.","Elsevier Science B.V., Amsterdam",2018
,59,Microarray data and pathway analyses of peripheral blood mononuclear cells from healthy subjects after a three weeks grape-rich diet,"Milella, Rosa Anna; Gasparro, Marica; Alagna, Fiammetta; Cardone, Maria Francesca; Rotunno, Silvia; Ammollo, Concetta Tiziana; Semeraro, Fabrizio; Tullo, Apollonia; Marzano, Flaviana; Catalano, Domenico; Antonacci, Donato; Colucci, Mario; D'Elia, Domenica","Elsevier Science B.V., Amsterdam",2020
,60,Data for dynamics analysis of soil dissolved organic matter. Long term amendment effect,"Musadji, Neil Yohan; Geffroy-Rodier, Claude","Elsevier Science B.V., Amsterdam",2019
,61,Analysis of discrete data by Conwaya€“Maxwell Poisson distribution,"Gupta, R. C.; Sim, S. Z.; Ong, S. H.",Springer Science + Business Media,2014
,62,Data from proteomic analysis of the skin of Chinese giant salamander (Andrias davidianus),"Geng, Xiaofang; Wei, Hong; Shang, Haitao; Zhou, Minghui; Chen, Bing; Zhang, Fuchun; Zang, Xiayan; Li, Pengfei; Sun, Jingyan; Che, Jing; Zhang, Yaping; Xu, Cunshuan","Elsevier Science B.V., Amsterdam",2015
,63,Behavioral event data and their analysis,"Davidson, I.; Gilpin, S.; Walker, P. B.",Springer Science + Business Media,2012
,64,Data for proteomic analysis of murine cardiomyocytic HL-1 cells treated with siRNA against tissue factor,"Brioschi, Maura; Lento, Sabrina; Barcella, Simona; Nasim, Md. Talat; Ghilardi, Stefania; Barbieri, Silvia Stella; Tremoli, Elena; Banfi, Cristina","Elsevier Science B.V., Amsterdam",2015
,65,Data on environmental analysis of natural antioxidant production from walnut husk by a solar photovoltaic-driven system as a replacement for potentially carcinogenic synthetic antioxidants,"Khounani, Zahra; Hosseinzadeh-Bandbafha, Homa; Nizami, Abdul-Sattar; Sulaiman, Alawi; Goli, Sayed Amir Hossein; Tavassoli-Kafrani, Elham; Ghaffari, Akram; Rajaeifar, Mohammad Ali; Kim, Ki-Hyun; Talebi, Ahmad Farhad; Aghbashlo, Mortaza; Tabatabaei, Meisam","Elsevier Science B.V., Amsterdam",2020
,66,Visualization and Analysis of Clickstream Data of Online Stores for Understanding Web Merchandising,"Lee, J.",00,2001
,67,The Baquara2 knowledge-based framework for semantic enrichment and analysis of movement data,"Fileto, R.; May, C.; Renso, C.; Pelekis, N.; Klein, D.; Theodoridis, Y.","Elsevier Science B.V., Amsterdam.",2015
,68,Data for proteomic analysis of Human monocyte-derived macrophages,"Eligini, S.; Brioschi, M.; Fiorelli, S.; Tremoli, E.; Colli, S.; Banfi, C.","Elsevier Science B.V., Amsterdam",2015
,69,Prenatal alcohol exposure alters gene expression in the rat brain: Experimental design and bioinformatic analysis of microarray data,"Lussier, Alexandre A.; Stepien, Katarzyna A.; Weinberg, Joanne; Kobor, Michael S.","Elsevier Science B.V., Amsterdam",2015
,70,On the feasibility of using conceptual modeling constructs for the design and analysis of XML data,"Sengupta, A.","Elsevier Science B.V., Amsterdam.",2012
,71,From Statistical Nuisances to Serious Modeling: Changing How We Think About the Analysis of Time-Series-Cross-Section Data,"Beck, N.",Oxford University Press,2007
,72,Kernelized inner product-based discriminant analysis for interval data,"Queiroz, D. C. F.; Souza, R. M. C. R.; Cysneiros, F. J. A.; Araujo, M. C.",Springer Nature,2017
,73,Calibration of crash risk models on freeways with limited real-time traffic data using Bayesian meta-analysis and Bayesian inference approach,"Xu, Chengcheng; Wang, Wei; Liu, Pan; Li, Zhibin","Elsevier Science B.V., Amsterdam.",2015
,74,A New Methodology for Before?After Safety Assessment Using Survival Analysis and Longitudinal Data,"Xie, Kun; Ozbay, Kaan; Yang, Hong; Yang, Di",John Wiley & Sons Ltd,2019
,75,Pooling data from fatality analysis reporting system (FARS) and generalized estimates system (GES) to explore the continuum of injury severity spectrum,"Yasmin, Shamsunnahar; Eluru, Naveen; Pinjari, Abdul R.","Elsevier Science B.V., Amsterdam.",2015
,76,Are signalized intersections with cycle tracks safer? A case?control study based on automated surrogate safety analysis using video data,"Zangenehpour, Sohail; Strauss, Jillian; Miranda-Moreno, Luis F.; Saunier, Nicolas","Elsevier Science B.V., Amsterdam.",2016
,77,Bicycle helmet use patterns in Italy. A description and analysis of survey data from an Italian friends of cycling association,"Popa, Ioana; Ferraro, Ottavia E.; Orsi, Chiara; Morandi, Anna; Montomoli, Cristina","Elsevier Science B.V., Amsterdam.",2017
,78,Kinetic analysis of thermogravimetric data XXIX. Remarks on the `many curves' methods,"Zsako, J.",JOHN WILEY & SONS LTD,1996
,79,Kinetic analysis of TG data XXXVI.,"Zsako, J.; Szilagyi, I.; Simay, A.; Varhelyi, C.; Kerekes, K.",KLUWER ACADEMIC PUBLISHERS,2002
,80,Three-way analysis of imprecise data,"Giordani, P.","Elsevier Science B.V., Amsterdam",2010
,81,Factors associated with the all-terrain vehicle mortality rate in the United States: An analysis of state-level data,"Rodgers, G. B.","Elsevier Science B.V., Amsterdam.",2008
,82,Target-Density Weighting Interpolation and Uncertainty Evaluation for Temporal Analysis of Census Data,"Schroeder, J. P.",Blackwell publishing Ltd,2007
,83,Application of principal components analysis to 1H-NMR data obtained from propolis samples of different geographical origin,"Watson, D. G.; Peyfoon, E.; Zheng, L.; Lu, D.; Seidel, V.; Johnston, B.; Parkinson, J. A.; Fearnley, J.","John Wiley & Sons, Ltd",2006
,84,Microlocal analysis of scattering data for nested conormal potentials,"Eswarathasan, S.",Elsevier Science B.V. Amsterdam,2012
,85,"Health burden of road traffic accidents, an analysis of clinical data on disability and mortality exposure rates in Flanders and Brussels","Dhondt, S.; Macharis, C.; Terryn, N.; Van Malderen, F.; Putman, K.","Elsevier Science B.V., Amsterdam.",2013
,86,Quantile regression provides a fuller analysis of speed data,"Hewson, P.","Elsevier Science B.V., Amsterdam.",2008
,87,Crime Risk Maps: A Multivariate Spatial Analysis of Crime Data,"Chung, Jihoon; Kim, Heeyoung",Wiley-Blackwell,2019
,88,Utilizing UAV video data for in-depth analysis of drivers' crash risk at interchange merging areas,"Gu, Xin; Abdel-Aty, Mohamed; Xiang, Qiaojun; Cai, Qing; Yuan, Jinghui","Elsevier Science B.V., Amsterdam.",2019
,89,Kinetic Analysis of Thermogravimetric Data XXX. Thermal decomposition of some Reinecke salt like complexes,"Zsako, J.",JOHN WILEY & SONS LTD,1997
,90,The activities of the european consortium on nuclear data development and analysis for fusion,"Fischer, U.; Avrigeanu, M.; Avrigeanu, V.; Cabellos, O.; Kodeli, I.; Koning, A.; Konobeyev, A.; Leeb, H.; Rochman, D.; Pereslavtsev, P.; Sauvan, P.; Sublet, J.-C.; Trkov, A.; Dupont, E.; Leichtle, D.; Izquierdo, J.",Academic Press,2014
,91,Home injuries mortality: Sensitivity and specificity analysis of different data sources and operative definitions,"Farchi, S.; Camilloni, L.; Rossi, P. G.; Chini, F.; Borgia, P.; Guasticchi, G.","Elsevier Science B.V., Amsterdam.",2007
,92,Research Challenges in Financial Data Modeling and Analysis,unknown,Mary Ann Leibert,2017
,93,Allometric Scaling: Analysis of LD50 Data,"Burzala-Kowalczyk, L.; Jongbloed, G.",Blackwell Publishing Ltd,2011
,94,Multilevel data and Bayesian analysis in traffic safety,"Huang, H.; Abdel-Aty, M.","Elsevier Science B.V., Amsterdam.",2010
,95,Statistical analysis of masked data in a hybrid system based on copula theory under progressive hybrid censoring,"Cai, Jing; Shi, Yimin; Bai, Xuchao",Taylor & Francis,2017
,96,Multivariate analysis of tof?sims data using mass segmented peak lists,"Madiona, Robert M.T.; Welch, Nicholas G.; Russell, Stephanie B.; Winkler, David A.; Scoble, Judith A.; Muir, Benjamin W.; Pigram, Paul J.","John Wiley & Sons, Ltd",2018
,97,Refined-scale panel data crash rate analysis using random-effects tobit model,"Chen, F.; Ma, X.; Chen, S.","Elsevier Science B.V., Amsterdam.",2014
,98,Multivariate analysis of ToF-SIMS data for biological applications,"Park, J. W.; Min, H.; Kim, Y. P.; Kyong Shon, H.; Kim, J.; Moon, D. W.; Lee, T. G.","John Wiley & Sons, Ltd",2009
,99,Advances in Risk Analysis with Big Data,"Choi, T. M.; Lambert, J. H.",John Wiley & Sons Ltd,2017
,100,An analysis of longitudinal data with nonignorable dropout using the truncated multivariate normal distribution,"Jolani, S.","Elsevier Science B.V., Amsterdam",2014
,1,"Data on the genome analysis of the wild edible mushroom, Russula griseocarnosa","Yu, Fei; Liang, Junfeng","Elsevier Science B.V., Amsterdam",2019
,2,Analysis of two-sample truncated data using generalized logistic models,"Li, G.; Qin, J.","Elsevier Science B.V., Amsterdam",2006
,3,"Data sets on spatial analysis of hydro geochemistry of Gudur area, SPSR Nellore district by using inverse distance weighted method in Arc GIS 10.1","Golla, Veeraswamy; Arveti, Nagaraju; Etikala, Balaji; Y, Sreedhar; K, Narasimhlu; P, Harish","Elsevier Science B.V., Amsterdam",2019
,4,Privacy-preserving data publishing for cluster analysis,"Fung, B. C.; Wang, K.; Wang, L.; Hung, P. C.","Elsevier Science B.V., Amsterdam.",2009
,5,The data obtained during the analysis of clinical blood samples for children acute lymphoblastic leukemia patients with severe side-effects,"Zyubin, Andrey; Lavrova, Anastasiya; Demin, Maksim; Pankina, Alina; Babak, Svetlana","Elsevier Science B.V., Amsterdam",2017
,6,Data for a proteomic analysis of p53-independent induction of apoptosis by bortezomib,"Yerlikaya, Azmi; Okur, Emrah; Tarık Baykal, Ahmet; Acılan, Ceyda; Boyacı, ?hsan; Ulukaya, Engin","Elsevier Science B.V., Amsterdam",2014
,7,Data for the spatiotemporal analysis of US global banks' exposure to foreign counterparty risks,"Niankara, Ibrahim; Ismail Hassan, Hassan","Elsevier Science B.V., Amsterdam",2019
,8,"Comparative analyses of chloroplast genome data representing nine green algae in Sphaeropleales (Chlorophyceae, Chlorophyta)","Fu?ikova, Karolina; Lewis, Louise A.; Lewis, Paul O.","Elsevier Science B.V., Amsterdam",2016
,9,Diverting tyrosine: Data from untargeted metabolic analysis of tomato fruit accumulating L-DOPA,"Breitel, Dario; Brett, Paul; Alseekh, Saleh; Fernie, Alisdair R.; Butelli, Eugenio; Martin, Cathie","Elsevier Science B.V., Amsterdam",2021
,10,Data on the genome analysis of the wood-rotting fungus Steccherinum ochraceum LE-BIN 3174,"Moiseenko, Konstantin; Glazunova, Olga; Shakhova, Natalia; Savinova, Olga; Vasina, Daria; Tyazhelova, Tatiana; Psurtseva, Nadezhda; Fedorova, Tatiana","Elsevier Science B.V., Amsterdam",2020
,11,Data from SILAC-based quantitative analysis of lysates from mouse microglial cells treated with Withaferin A (WA),"Narayan, Malathi; Seeley, Kent W.; Jinwal, Umesh K.","Elsevier Science B.V., Amsterdam",2016
